sut,mutant_id,fault_class,mr_id,mr_meta_pattern,trial_id,killed,residual,tolerance,seed,status
OpenMC,Mut00,baseline_control,P9_MR1_k_eff_physical_window,m_mono,seed1,false,0,0,1,survived
OpenMC,Mut00,baseline_control,P9_MR2_enrichment_monotonicity,m_mono,seed1,false,0,0.005,1,survived
OpenMC,Mut00,baseline_control,P9_MR3_statistics_convergence,m_conv,seed1,false,0,0.35,1,survived
OpenMC,Mut00,baseline_control,P9_MR4_geometry_sensitivity,m_traj,seed1,false,0,0.01,1,survived
OpenMC,Mut00,baseline_control,P9_MR5_identity_stability,m_inv,seed1,false,0,0.006,1,survived
OpenMC,Mut01,fuel_enrichment_fault,P9_MR1_k_eff_physical_window,m_mono,seed1,false,0,0,1,survived
OpenMC,Mut01,fuel_enrichment_fault,P9_MR2_enrichment_monotonicity,m_mono,seed1,true,0.01878245006,0.005,1,killed
OpenMC,Mut01,fuel_enrichment_fault,P9_MR3_statistics_convergence,m_conv,seed1,false,0,0.35,1,survived
OpenMC,Mut01,fuel_enrichment_fault,P9_MR4_geometry_sensitivity,m_traj,seed1,false,0.01878245006,0.01,1,survived
OpenMC,Mut01,fuel_enrichment_fault,P9_MR5_identity_stability,m_inv,seed1,false,0.01878245006,0.006,1,survived
OpenMC,Mut02,moderator_density_fault,P9_MR1_k_eff_physical_window,m_mono,seed1,false,0,0,1,survived
OpenMC,Mut02,moderator_density_fault,P9_MR2_enrichment_monotonicity,m_mono,seed1,false,0.01673302506,0.005,1,survived
OpenMC,Mut02,moderator_density_fault,P9_MR3_statistics_convergence,m_conv,seed1,false,0,0.35,1,survived
OpenMC,Mut02,moderator_density_fault,P9_MR4_geometry_sensitivity,m_traj,seed1,true,0.01673302506,0.01,1,killed
OpenMC,Mut02,moderator_density_fault,P9_MR5_identity_stability,m_inv,seed1,false,0.01673302506,0.006,1,survived
OpenMC,Mut03,geometry_radius_fault,P9_MR1_k_eff_physical_window,m_mono,seed1,false,0,0,1,survived
OpenMC,Mut03,geometry_radius_fault,P9_MR2_enrichment_monotonicity,m_mono,seed1,false,0.0153118907,0.005,1,survived
OpenMC,Mut03,geometry_radius_fault,P9_MR3_statistics_convergence,m_conv,seed1,false,0,0.35,1,survived
OpenMC,Mut03,geometry_radius_fault,P9_MR4_geometry_sensitivity,m_traj,seed1,true,0.0153118907,0.01,1,killed
