mutant_id,fault_class
cylinder_flow_meshgraphnet::BC_nonzero_wall,boundary_condition_fault
cylinder_flow_meshgraphnet::BC_zero_inflow,boundary_condition_fault
cylinder_flow_meshgraphnet::MA_drop_edges,mesh_adjacency_fault
cylinder_flow_meshgraphnet::MA_permute_edges,mesh_adjacency_fault
cylinder_flow_meshgraphnet::NS_double_scale,normalization_scale_fault
cylinder_flow_meshgraphnet::NS_skip_denorm,normalization_scale_fault
cylinder_flow_meshgraphnet::PC_swap_xy,physical_channel_fault
cylinder_flow_meshgraphnet::PC_zero_vy,physical_channel_fault
cylinder_flow_meshgraphnet::TR_double_step,temporal_rollout_fault
cylinder_flow_meshgraphnet::TR_sign_flip,temporal_rollout_fault
